Sample ID,WGSPutGenoLabel,Geno.std,Genotype.Replicate,Technical Replicate,Multi-Locus Genotype ID,Raw Reads,Aligned,Alignment Rate,Missing Loci,Symbiodinium,Breviolum,Cladocopium,Durusdinium
s110,M18,M18,M18,no,110,25816830,18432196,0.714,825,0.004355206,0.001229004,0.003495704,0.990920086
s111,M29,M29,M29,no,111,25356359,17726200,0.699,815,0.00516139,0.001356941,0.004799239,0.98868243
s112,S503,S503,S503,no,112,24828284,19527176,0.786,656,0.057973349,0.007846351,0.141442085,0.792738215
s113,S373,S373,S373,no,113,25668465,18700996,0.729,868,0.006783937,0.001610236,0.006416829,0.985188998
s114,S575,S575,S575,no,114,20640900,16459032,0.797,939,0.044034812,0.006086292,0.050594683,0.899284214
s115,AE3,AE3,AE3,no,115,19443213,1952512,0.1,3927,0.035770503,0.013128954,0.116707052,0.834393491
s116,M13,M13,M13,no,116,27154103,17465277,0.643,912,0.006240271,0.00139228,0.006703614,0.985663835
s117,M20,M20,M20,no,117,25832058,19557914,0.757,705,0.005606992,0.001286746,0.004256778,0.988849485
s118,OF96,OF96,OF96,no,118,20452743,16643630,0.814,1187,0.012208029,0.626590681,0.010038494,0.351162796
s119,S439,S439,S439,no,119,28483641,16921740,0.594,805,0.003666582,0.000990102,0.003568641,0.991774675
s120,UK25,UK25,UK25,no,120,24286852,17676975,0.728,852,0.063302006,0.009798872,0.06971432,0.857184803
s121,OF11,OF11,OF11,no,121,20445574,14490859,0.709,1286,0.006137699,0.001193899,0.005644268,0.987024134
s122,OF662,OF662,OF662,no,122,19402705,14440472,0.744,1328,0.008942635,0.001441874,0.010597018,0.979018474
s123,M4,M4,M4,no,123,26526136,17458858,0.658,1019,0.00730284,0.00123098,0.00746609,0.984000091
s124,1-OF-2,1OF2,1-OF-2,no,124,25906864,19076880,0.736,916,0.006158701,0.001108297,0.005212051,0.987520951
s125,OF443,OF443,OF443,no,125,26405304,17930691,0.679,852,0.006990932,0.00127662,0.022033906,0.969698541
s126,OF98,OF98,OF98,no,126,25585938,17390816,0.68,937,0.003888192,0.001238644,0.009582439,0.985290725
s127,GB4,GB4,GB4,no,127,28197318,19168475,0.68,803,0.003859732,0.000947336,0.003355609,0.991837324
s128,M22,M22,M22,no,128,25078494,12631037,0.504,13311,0.066220913,0.02410516,0.095606251,0.814067677
s129,OF682,OF682,OF682,no,129,20703876,9417021,0.455,12644,0.078526214,0.036992547,0.127774991,0.756706248
s130,GB20,GB20,GB20,no,130,29462961,19907350,0.676,706,0.004556359,0.001084156,0.003720732,0.990638753
s131,OF683,OF683,OF683,no,131,26133925,18482210,0.707,824,0.006235015,0.001408412,0.005599654,0.98675692
s132,OF201,OF201,OF201,no,132,26351300,16540511,0.628,886,0.003946338,0.001005369,0.003373273,0.99167502
s133,M2,M2,M2,no,133,25292126,18692858,0.739,916,0.006655274,0.001357782,0.005939628,0.986047316
s134,OF99,OF99,OF99,no,134,28092760,21454258,0.764,743,0.007544274,0.064654031,0.004824564,0.92297713
s135,GB10,GB10,GB10,no,135,26877988,18653228,0.694,927,0.005985767,0.001402592,0.005764494,0.986847147
s136,GB5,GB5,GB5,no,136,20672220,14864571,0.719,1193,0.052991773,0.006612613,0.066427294,0.873968321
s137,OF57,OF57,OF679,no,137,27469444,19595575,0.713,845,0.006060904,0.001255664,0.005600768,0.987082664
s138,OF512,OF512,OF512,no,138,20487376,10026062,0.489,2590,0.113962431,0.014677711,0.09731391,0.774045949
s139,M31,M31,M31,no,139,24811872,7059618,0.285,3965,0.096881641,0.01126364,0.054662547,0.837192173
