"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"56","s055","OF608","OF693","no","WGS-72","",25979695,18551359,0.714,906,"x",0.061245466,0.012561959,0.072538381,0.853654193,"OF608","OF608","S608,15-608","YES","Y","Experiment",NA,"OF608","OF608","S608,15-608","S608","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"57","s056","OF354","OF354","no","WGS-56","",24515031,16290786,0.665,956,"",0.101570359,0.020748704,0.125985794,0.751695143,"OF354","OF354","15-17, S17","YES","Y","Experiment",NA,"OF354","OF354","15-17, S17","15-17","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"58","s057","OF76","OF76_wgs_1","yes","WGS-57","",24553096,15105837,0.615,1817,"x",0.113048559,0.020638487,0.135420773,0.730892181,"OF76","OF76","F76","YES","Y","Experiment",NA,"OF76","OF76","F76","F76","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"59","s058","OF3","OF3","no","WGS-58","",25653466,4302407,0.168,5650,"",0.098576137,0.01269757,0.135600464,0.75312583,"OF3","OF3","F3A","YES","Y","Experiment",NA,"OF3","OF3","F3A","F3A","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","","Imhof, 2018","R",2018,2018,2018
"60","s059","F7","F7","no","WGS-59","",25889437,5480508,0.212,5182,"",0.065150318,0.007481685,0.078798979,0.848569018,"F7","F7","F5B","YES","Y","Experiment",NA,"OF7","F7","F5B","F5B","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",2018,2018,2018
"61","s060","S335","S335","no","WGS-60","",24545365,8856509,0.361,3324,"",0.098649943,0.019870511,0.122248352,0.759231194,"S335","S335","OF335,15-335","YES","Y","Experiment",NA,"OF335","S335","OF335,15-335","S335,15-335","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020/21","",NA,NA,NA
"62","s061","OF483","OF483","no","WGS-61","",26737680,17525835,0.655,897,"",0.046317747,0.007528632,0.051288805,0.894864816,"S483","OF483","OF483","YES","Y","Ex situ","Y","OF483","OF483","OF483","S483","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","",NA,2020,2020
"63","s062","GB3","GB3","no","WGS-62","",26583430,21692712,0.816,757,"",0.090038212,0.015634899,0.095239842,0.799087047,"GB3","GB3","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","s063","OF46","OF46","no","WGS-63","",24697720,6701417,0.271,4436,"",0.077837603,0.009253148,0.053538862,0.859370386,"OF46","OF46","F46","YES","Y","Experiment",NA,"OF46","OF46","F46","F46","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","","","Imhof, 2021","R",NA,NA,NA
"65","s064","GB27","GB27","no","WGS-64","",26633402,8652428,0.325,3298,"",0.057557752,0.010268099,0.044741705,0.887432445,"GB27","GB27","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","s065","M35","M35","no","WGS-154","",26711084,21794551,0.816,508,"x",0.122943188,0.015903477,0.114796694,0.746356641,"M35","M35","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","s066","M14","M14","no","WGS-66","",25770536,18935065,0.735,797,"x",0.050433876,0.005964828,0.051415169,0.892186127,"M14","M14","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","s067","OF97","OF97","no","WGS-67","",26569985,20667225,0.778,765,"",0.062724518,0.007039882,0.052534775,0.877700824,"OF97","OF97","","YES","Y","Experiment",NA,"OF97","OF97","","NONE","","COO","Wonderland2","Y",24.55994,-81.50162,"12.15.2020","Mote","","","","","",NA,NA,NA
"69","s068","M36","M36","no","WGS-68","",25762604,17587728,0.683,873,"",0.088364192,0.010529269,0.116897326,0.784209214,"M36","M36","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","s069","M16","M16","no","WGS-69","",28821577,23813942,0.826,584,"",0.150103449,0.017364774,0.144102051,0.688429726,"M16","M16","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","s070","M3","M3","no","WGS-70","",19188777,13754696,0.717,1940,"",0.135412521,0.026529823,0.179873657,0.658183999,"M3","M3","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","s071","M17","M17","no","WGS-71","",19413289,13969505,0.72,1376,"",0.07182664,0.010185603,0.074286916,0.84370084,"M17","M17","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","s072","M21","M21","no","WGS-72","",28038049,19404666,0.692,787,"x",0.047747109,0.008064503,0.076251564,0.867936824,"M21","M21","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","s073","M32","M32","no","WGS-73","",20673600,14444800,0.699,1268,"",0.066101233,0.013480917,0.078942981,0.84147487,"M32","M32","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","s074","M26","M26","no","WGS-74","",24434674,13196358,0.54,2531,"",0.097277521,0.016204262,0.113474361,0.773043856,"M26","M26","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","s075","M28","M28","no","WGS-154","",27362488,20801165,0.76,611,"x",0.121232214,0.016699257,0.133784109,0.72828442,"M28","M28","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","s076","OF101","OF101","no","WGS-76","",26672251,20813581,0.78,756,"",0.138425907,0.022280255,0.162088707,0.677205131,"OF101","OF101","","YES","Y","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","s077","S378","S378","no","WGS-77","",25881213,10370725,0.401,2021,"",0.064095205,0.009282855,0.055265708,0.871356233,"S378","S378","OF378","YES","Y","Experiment",NA,"OF378","S378","OF378","S378","OF694_4.2020","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","Yes","Kenkel, 2020","","Imhof, 2020","15-327_4.2020",NA,NA,NA
"79","s078","GB2","GB2","no","WGS-135","",26171115,19771017,0.755,737,"",0.056104667,0.009291208,0.050518435,0.88408569,"GB2","GB2","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
