Restoration.name,Putative.Genotype.ID,Genotype.name,Other.names,OFAV.Old.Name,Mote.Known.Clones,Type,Source,Hybrid,Collection.Latitude,Collection.Longitude,Year.of.initial.collection,Partner.Source,Mote.Genotyped,Mote.2brad,Mote.Putative.2bRAD.Clones,Mote.Microsatellites,Mote.Putative.MSAT.Clones,Mote.Disease.Tested,Mote.Temp.Tested,Mote.OA.Tested
OF677,XOF677,X-OF-677,OF677,15-26,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF678,XOF678,X-OF-678,OF678,15-39,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF679,OF679,OF679,OF679,15-76,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF680,OF680,OF680,"15-120, S120",15-120,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",S218,NA,NA,NA
OF681,OF681,OF681,OF681,15-184,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",U,NA,NA,NA
OF682,OF682,OF682,OF682,15-1,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-7_10.2020,NA,NA,NA
OF683,OF683,OF683,"15-442,S442",15-165,OF673,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-303,NA,NA,NA
OF684,OF684,OF684,"15-181,S181",15-181,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-386 A,NA,NA,NA
OF685,OF685,OF685,"15-229,S229",15-229,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",,NA,NA,NA
OF686,XOF686,X-OF-686,OF686,15-170,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",U,NA,NA,NA
OF687,OF687,OF687,OF687,15-102,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",U,NA,NA,NA
OF688,XOF688,X-OF-688,OF688,15-7,OF682,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R; 15-1,NA,NA,NA
OF689,XOF689,X-OF-689,OF689,S660,OF393_4.2020,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,,,,"Imhof, 2020",S3939_4.2020,NA,NA,NA
OF690,OF690,OF690,OF690,F412,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",,NA,NA,NA
OF691,XOF691,X-OF-691,OF691,15-595,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",,NA,NA,NA
OF692,OF692,OF692,OF692,15-209,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",U,NA,NA,NA
OF693,OF693,OF693,OF693,15-319,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF694,XOF694,X-OF-694,OF694,15-327,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF695,OF695,OF695,OF695,15-380,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R; 15-379 B; F415 (GB),NA,NA,NA
OF696,OF696,OF696,OF696,15-425,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",,NA,NA,NA
OF697,XOF697,X-OF-697,OF697,15-382,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",15-386_10.2020,NA,NA,NA
OF698,OF698,OF698,OF698,15-388,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF7,F7,F7,F5B,F5B,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,2018,2018,2018
OF700,OF700,OF700,OF700,15-93,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF701,OF701,OF701,"15-31,S31",15-31,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,Yes,,,"Imhof, 2020",R,NA,NA,NA
OF702,OF702,OF702,OF702,15-77,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF704,OF704,OF704,OF704,15-121,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF705,OF705,OF705,"15-315,S315",15-315,,SR,H,Y,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF706,OF706,OF706,OF706,15-360,,SR,H,N,25.139367,-80.294017,2015,Margaret Miller,,,,,,NA,NA,NA
OF727,OF727,OF727,15-318,15-318,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF729,OF729,OF729,15-253,15-253,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF733,OF733,OF733,"15-264,S264",15-264,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF745,OF745,OF745,"15-199,S199",15-199,,SR,,N,,NA,2015,,Yes,,,"Imhof, 2020",,NA,NA,NA
OF747,15161,15-161,"S161, OF161",15-161,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF748,S31,S31,"OF748,15-31",S31,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF75,OF75,OF75,F75,F75,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,NA,NA,NA
OF755,OF755,OF755,"15-292,S292",15-292,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF758,OF758,OF758,"15-338,S338",15-338,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF759,OF759,OF759,"15-376,S376",15-376,,SR,,N,,NA,2015,,,,,,,NA,NA,NA
OF76,OF76,OF76,F76,F76,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,NA,NA,NA
OF8,OF8,OF8,F8,F8,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",,2018,2018,2018
OF96,OF96,OF96,,NONE,,COO,Birthday,Y,24.57888,-81.49728,12.14.2020,Mote,,,,,,NA,NA,NA
OF97,OF97,OF97,,NONE,,COO,Wonderland2,Y,24.55994,-81.50162,12.15.2020,Mote,,,,,,NA,NA,NA
OF98,OF98,OF98,,NONE,,COO,Wonderland2,Y,24.55994,-81.50162,12.15.2020,Mote,,,,,,NA,NA,NA
OF99,OF99,OF99,,NONE,,COO,Jaap,Y,24.58721,-81.5783,12.15.2020,Mote,,,,,,NA,NA,NA
